127.0.0.1 - - [02/Oct/2019:09:22:07 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:13 +0200] "GET /my-starter-project/ HTTP/1.1" 200 33378
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:13 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:13 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-b5b537a5be577a7f4d67.cache.js HTTP/1.1" 200 4893170
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:13 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/bundles/webcomponents-sd-ce-pf.js HTTP/1.1" 200 114852
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:13 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle.es5-7e1acba925603cafd012.cache.js HTTP/1.1" 200 5599278
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:13 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 200 46085
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:14 +0200] "GET /my-starter-project/icons/icon-512x512.png HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:24 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 27965
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:26 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 5549
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:32 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:32 +0200] "GET /my-starter-project/ HTTP/1.1" 200 33378
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:32 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:32 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:33 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-b5b537a5be577a7f4d67.cache.js HTTP/1.1" 200 4893170
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:33 +0200] "GET /my-starter-project/icons/icon-32x32.png?140555515 HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:22:35 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:27:34 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:27:34 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:32:35 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:32:35 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:35:06 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:35:06 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:37:35 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:37:35 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:42:36 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:42:36 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:47:37 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:47:37 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:52:38 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:52:38 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:57:39 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:09:57:39 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:02:40 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:02:40 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:07:41 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:07:41 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:12:42 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:12:42 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:17:43 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:17:43 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:22:44 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:22:44 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
